№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
251,Белы Куна,2к1,30.373711,59.869399,наб. реки Фонтанки,154,30.28255,59.915765,1455.875
252,Богатырский пр.,31,30.244263,60.003201000000004,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1751.125
253,Богатырский пр.,31,30.244263,60.003201000000004,Будапештская,3,30.36382,59.873704000000004,2877.375
254,Богатырский пр.,31,30.244263,60.003201000000004,Вавиловых,14,30.390563,60.024752,1588.875
255,Богатырский пр.,31,30.244263,60.003201000000004,Динамо пр.,3,30.279864,59.972699,1228.375
256,Богатырский пр.,31,30.244263,60.003201000000004,Загородный просп.,47,30.321195,59.921804,1817.75
257,Богатырский пр.,31,30.244263,60.003201000000004,Костюшко,2,30.295701,59.849212,3151.375
258,Богатырский пр.,31,30.244263,60.003201000000004,Кузнецовская,25,30.332577,59.87143199999999,2768.0
259,Богатырский пр.,31,30.244263,60.003201000000004,Литейный просп.,56,30.349456,59.935069999999996,1496.25
260,Богатырский пр.,31,30.244263,60.003201000000004,Луначарского пр.,47,30.360164,60.036281,1660.75
